"campo"	"valor"
"dados_id"	"ctb0658"
"dados_titulo"	"Levantamento de reconhecimento de média intensidade dos solos e avaliação da aptidão agricola das terras de 21.000 hectares no Município de Tefé, Amazonas"
"dados_autor"	"Klaus Peter Wittern (NA)"
"organizacao_nome"	"EMBRAPA SOLOS"
"organizacao_local"	"Brasil"
"organizacao_url"	"https://www.embrapa.br/solos"
"dados_descricao"	"Dados de estudo pedológico em área 21.000 ha, a nivel de reconhecimento de media intensidade, para implantação de projeto de exploração da cultura do dende. Inclui 11 perfis de solos descritos e amostrados usando a metodologia normalmente empregada pelo SNLCS, usados para preparar mapa de solos e de aptidao agricola na escala de 1:100.000. Foram identificados, basicamente, Plintossolos e Podzólicos Vermelho Escuros, todos de baixa fertilidade natural. Apenas parte dos dados das observações estão disponíveis, e nenhum dos dados dos horizontes e camadas."
"area_conhecimento"	"Gênese, Morfologia e Classificação dos Solos"
"palavras_chave"	"Agriculture fitness; Amazon; Amazonas; Amazonas Soils; Brasil; Classificação; Land reconnaissance; Levantamento exploratório; Média intensidade; Soils; Solos; Survey; Survey exploratory; Tefé"
"dados_publicacao"	"http://ainfo.cnptia.embrapa.br/digital/bitstream/item/62543/1/CNPS-BOL.-PESQ.-1983.pdf"
"dados_idioma"	NA
"fonte_financeira"	NA
"dados_licenca"	"CC BY-NC 4.0 Atribuição-NãoComercial"
"extensao_temporal"	NA
"extensao_espacial"	NA
"extensao_altimetrica"	NA
"dados_completude"	"incompletos (menos de 70% de cobertura)"
"dados_consistencia"	"consistência estrutural"
