"campo"	"valor"
"dados_id"	"ctb0700"
"dados_titulo"	"Conjunto de dados do levantamento detalhado 'LEVANTAMENTO DETALHADO DOS SOLOS DA ÁREA DA UEPAE DE TERESINA, PI'"
"dados_descricao"	"Conjunto de dados públicos do solo originalmente obtidos do Sistema de Informação de Solos Brasileiros (SISB), construído e mantido pela Embrapa Solos (Rio de Janeiro) e Embrapa Informática Agropecuária (Campinas), referente ao levantamento detalhado 'LEVANTAMENTO DETALHADO DOS SOLOS DA ÁREA DA UEPAE DE TERESINA, PI'. Dados de localização espacial de observações do solo sem coordenadas espaciais foram completados usando dados produzidos por Cooper et al. (2005) e publicados no artigo 'A national soil profile database for Brazil available to international scientists' do Soil Science Society of America Journal, ou então usando os dados de localização descritiva para inferir sobre as coordenadas espaciais mais prováveis usando serviços de mapas online como o Google Maps e o Google Earth. Erros e inconsistências nos dados das coordenadas espaciais das observações foram corrigidos manualmente visualizando as respectivas observações no Google Maps. Nos casos em que dados sobre o sistema de coordenadas de referência não estava disponível, adotou-se o WGS 84 como datum padrão. Também foram corrigidos erros e inconsistências, e realizadas atualizações no nome do município e código da unidade federativa onde as observações foram realizadas. Dados do conteúdo de ferro apresentando valores discrepantes foram corrigidos depois de consultar o relatório do levantamento do solo onde originalmente foram publicados. A fim de preservar a conexão dos dados com o SISB, usa-se o mesmo código de identificação daquele sistema para o conjunto de dados, assim como o código de identificação de cada observação corresponde ao código do perfil do solo no SISB e o código das amostras corresponde ao código dos horizontes. Todas os demais dados são mantidos como dados adicionais para facilitar o reuso do conjunto de dados como um todo. Nenhum item técnico-científico do SISB e seu respectivo banco de dados que seja fruto da atividade intelectual, criativa, inovadora e inédita dos projetos conduzidos pela Embrapa foi ou é usado para organizar estruturalmente a presente versão do conjunto de dados. O emprego deste conjunto de dados para finalidades profissionais e/ou comerciais deve ser precedido pelo contato com a Embrapa."
"criacao_data"	"2018-01-12"
"dados_licenca"	"CC BY 4.0"
"organizacao_nome"	NA
"organizacao_url"	NA
"organizacao_local"	"Brasil"
"autor_nome_email"	"Heraclio Fernandes R. de Melo Filho (NA); Luiz Alberto Regueira Medeiros (NA); Paulo Klinger Tito Jacomine (NA); Washington de O. Barreto (NA); Maria Amélia de Moraes Duriez (NA); Maria Elisabeth C. C. Magalhães Melo (NA); Ruth Andrade Sant'Anna de Araújo (NA); Luiz Eduardo Ferreira Fontes (NA); Loiva Lizia Antonello (NA); Therezinha da Costa Lima (NA); Evanda Maria Rodrigues e José Herculano de Carvalho. (NA)"
"dados_referencia"	"FILHO, H.F.R.; MEDEIROS, L.A.R.; JACOMINE, P.K.T.; BARRETO, W.O.; DURIEZ, M.A.M.; MELO, M.E.C.C.M.; JOHAS, R.A.L.J.; ARAÚJO, W.S.A.; FONTES, L.E.F.; ANTONELLO, L.L.; LIMA, T.C.; RODRIGUES, E.M.; CAVALHO, J.H. LEVANTAMENTO DETALHADO DOS SOLOS DA ÁREA DA UEPAE DE TERESINA, PI. Rio de Janeiro, EMBRAPA - SNLCS, Boletim Técnico, 69; 1980. ; https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html; http://doi.org/10.2136/sssaj2004.0140"
"area_conhecimento"	"Gênese, Morfologia e Classificação dos Solos"
"palavras_chave"	NA
"dados_completude"	NA
"dados_consistencia"	"consistência estrutural"
