"campo"	"valor"
"dados_id"	"ctb0656"
"dados_titulo"	"Conjunto de dados do levantamento exploratório-reconhecimento 'LEVANTAMENTO EXPLORATÓRIO-RECONHECIMENTO DE SOLOS DO ESTADO DA PARAÍBA (VOLUME I) E INTERPRETAÇÃO PARA USO AGRÍCOLA DOS SOLOS DO ESTADO DA PARAÍBA (VOLUME II).'"
"dados_autor"	"PAULO KLINGER JACOMINE (NA); MATEUS ROSAS RIBEIRO (NA); JOSÉ ONALDO MONTENEGRO (NA); ALUÍSIO PEREIRA DA SILVA (NA); HERÁCLIO F. R. DE MELO FILHO (NA); CLOTÁRIO OLIVIER DA SILVEIRA (NA); ANTONIO CABRAL CAVALCANTI (NA); ERNANI LIBRA DE CARVALHO (NA); FERNANDO B. RODRIGUES E SILVA (NA); JERONIMO CUNHA ALMEIDA&#10;JURANDIR GONDIM REIS (NA); JOÃO CARLOS CHAGAS CAMPOS (NA); NIVALDO BURGOS (NA); RHENO AMARO FORMIGA (NA); VALDIR DE ARAÚJO BELTRÃO (NA); LEANDRO VETTORI (NA); FRANKLIN DOS SANTOS ANTUNES (NA); MARIA DE LOURDES A. ANASTÁCIO (NA); RAPHAEL M. BLOISE (NA); HÉLIO PIERANTONI (NA); MARIA AMÉLIA DURIEZ;RUTH A. L. JOHAS (NA); ADALTON OLIVEIRA MARTINS (NA); THEREZINHA C. L. BEZERRA (NA); LOIVA LIZIA ANTONELLO (NA); LUIS RAINHO S. CARNEIRO (NA); MARIANA E. HEYNEMMAM (NA); RAIMUNDO M. SOBRAL FILHO (NA); JOSÉ LOPES DE PAULA (NA); GIZA NARA C. MOREIRA (NA); ZILDA A. BREMAEKER (NA); WHASHINGTON DE O. BARRETO (NA); HELIO A. VAZ DE MELLO (NA); IDA DE SOUZA S. VETTORI (NA); MARIA APARECIDA B. PEREIRA (NA); SINÉZIO F. CHAGAS (NA); ADAHIL MEDEIROS LEITE (NA); MANOEL DA SILVA CARDOSO (NA); ANTONIO CARLOS MOTTA (NA); ANTONIO MOREIRA DA COSTA (NA); CLÍMACO M. AUGUSTO (NA); JOSÉ MATEUS (NA); ZENAIDE FONSECA MELLO (NA); MARIA LÚCIA VASCONCELLOS (NA); NEY HAMILTON PROFÍRIO (NA); MARIA CARMELITA M. MENEZES (NA); JOSÉ CORSINO DE OLIVEIRA (NA); MÉRCIA BORBOREMA DE OLIVEIRA (NA); CHYOSO HIRANO (NA); JAN HENDRIK SOLKE BRUIN. (NA)"
"organizacao_nome"	NA
"organizacao_local"	"Brasil"
"organizacao_url"	NA
"dados_descricao"	"Conjunto de dados públicos do solo originalmente obtidos do Sistema de Informação de Solos Brasileiros (SISB), construído e mantido pela Embrapa Solos (Rio de Janeiro) e Embrapa Informática Agropecuária (Campinas), referente ao levantamento exploratório-reconhecimento 'LEVANTAMENTO EXPLORATÓRIO-RECONHECIMENTO DE SOLOS DO ESTADO DA PARAÍBA (VOLUME I) E INTERPRETAÇÃO PARA USO AGRÍCOLA DOS SOLOS DO ESTADO DA PARAÍBA (VOLUME II).'. Dados de localização espacial de observações do solo sem coordenadas espaciais foram completados usando dados produzidos por Cooper et al. (2005) e publicados no artigo 'A national soil profile database for Brazil available to international scientists' do Soil Science Society of America Journal, ou então usando os dados de localização descritiva para inferir sobre as coordenadas espaciais mais prováveis usando serviços de mapas online como o Google Maps e o Google Earth. Erros e inconsistências nos dados das coordenadas espaciais das observações foram corrigidos manualmente visualizando as respectivas observações no Google Maps. Nos casos em que dados sobre o sistema de coordenadas de referência não estava disponível, adotou-se o WGS 84 como datum padrão. Também foram corrigidos erros e inconsistências, e realizadas atualizações no nome do município e código da unidade federativa onde as observações foram realizadas. Dados do conteúdo de ferro apresentando valores discrepantes foram corrigidos depois de consultar o relatório do levantamento do solo onde originalmente foram publicados. A fim de preservar a conexão dos dados com o SISB, usa-se o mesmo código de identificação daquele sistema para o conjunto de dados, assim como o código de identificação de cada observação corresponde ao código do perfil do solo no SISB e o código das amostras corresponde ao código dos horizontes. Todas os demais dados são mantidos como dados adicionais para facilitar o reuso do conjunto de dados como um todo. Nenhum item técnico-científico do SISB e seu respectivo banco de dados que seja fruto da atividade intelectual, criativa, inovadora e inédita dos projetos conduzidos pela Embrapa foi ou é usado para organizar estruturalmente a presente versão do conjunto de dados. O emprego deste conjunto de dados para finalidades profissionais e/ou comerciais deve ser precedido pelo contato com a Embrapa."
"area_conhecimento"	"Gênese, Morfologia e Classificação dos Solos"
"palavras_chave"	NA
"dados_publicacao"	"http://ainfo.cnptia.embrapa.br/digital/bitstream/item/106250/1/BOLETIM-LEVANTAMENTO-EXPLORATORIO-RECONHECIMENTO-DOS-SOLOS-DA-PARAIBA.pdf; https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html; http://doi.org/10.2136/sssaj2004.0140"
"dados_idioma"	NA
"fonte_financeira"	NA
"dados_licenca"	"CC BY-NC 4.0 Atribuição-NãoComercial"
"extensao_temporal"	NA
"extensao_espacial"	NA
"extensao_altimetrica"	NA
"dados_completude"	NA
"dados_consistencia"	"consistência estrutural"
