"campo"	"valor"
"dados_id"	"ctb0610"
"dados_titulo"	"Conjunto de dados do levantamento de reconhecimento de média intensidade 'Levantamento de Reconhecimento de Média Intensidade, Avaliação de Aptidão Agrícola das Terras e indicação de Culturas em Áreas Homogêneas de Solos de Alguns Municípios do Sudoeste do Estado de Mato Grosso.'"
"dados_descricao"	"Conjunto de dados públicos do solo originalmente obtidos do Sistema de Informação de Solos Brasileiros (SISB), construído e mantido pela Embrapa Solos (Rio de Janeiro) e Embrapa Informática Agropecuária (Campinas), referente ao levantamento de reconhecimento de média intensidade 'Levantamento de Reconhecimento de Média Intensidade, Avaliação de Aptidão Agrícola das Terras e indicação de Culturas em Áreas Homogêneas de Solos de Alguns Municípios do Sudoeste do Estado de Mato Grosso.'. Dados de localização espacial de observações do solo sem coordenadas espaciais foram completados usando dados produzidos por Cooper et al. (2005) e publicados no artigo 'A national soil profile database for Brazil available to international scientists' do Soil Science Society of America Journal, ou então usando os dados de localização descritiva para inferir sobre as coordenadas espaciais mais prováveis usando serviços de mapas online como o Google Maps e o Google Earth. Erros e inconsistências nos dados das coordenadas espaciais das observações foram corrigidos manualmente visualizando as respectivas observações no Google Maps. Nos casos em que dados sobre o sistema de coordenadas de referência não estava disponível, adotou-se o WGS 84 como datum padrão. Também foram corrigidos erros e inconsistências, e realizadas atualizações no nome do município e código da unidade federativa onde as observações foram realizadas. Dados do conteúdo de ferro apresentando valores discrepantes foram corrigidos depois de consultar o relatório do levantamento do solo onde originalmente foram publicados. A fim de preservar a conexão dos dados com o SISB, usa-se o mesmo código de identificação daquele sistema para o conjunto de dados, assim como o código de identificação de cada observação corresponde ao código do perfil do solo no SISB e o código das amostras corresponde ao código dos horizontes. Todas os demais dados são mantidos como dados adicionais para facilitar o reuso do conjunto de dados como um todo. Nenhum item técnico-científico do SISB e seu respectivo banco de dados que seja fruto da atividade intelectual, criativa, inovadora e inédita dos projetos conduzidos pela Embrapa foi ou é usado para organizar estruturalmente a presente versão do conjunto de dados. O emprego deste conjunto de dados para finalidades profissionais e/ou comerciais deve ser precedido pelo contato com a Embrapa."
"criacao_data"	"2018-01-11"
"dados_licenca"	"CC BY 4.0"
"organizacao_nome"	NA
"organizacao_url"	NA
"organizacao_local"	"Brasil"
"autor_nome_email"	"Antonio Manoel Pires Filho (NA); Humberto G. dos Santos (NA); Elias P. Mothci (NA); Raymundo M. Sobral Filho (NA); Osório O. Marques da Fonseca (NA); Maria Amélia de M. Duriez (NA); Marie Elizabeth C. C. de M. Melo (NA); Ruth Andrade Leal Johas (NA); Wilson Sant'Anna de Araújo (NA); Raphael Minotti Bloise (NA); Gisa Nara C. Moreira (NA); José Lopes de Paula (NA); Luiz Eduardo Ferreira Fontes (NA); João Luiz Rodrigues de Souza (NA); Therezinha da Costa Lima (NA); Loiva Lizia Antonello (NA); Evandra Maria Rodrigues (NA); Therezinha Xavier Bastos (NA); Tatiana Deane de Abreu Sá Diniz. (NA)"
"dados_referencia"	"FILHO, A. M. P., SANTOS, H. G. dos, MOTHCI, E. P., FILHO, R. M. S., FONSECA, O. O. M da, DURIEZ, M. A. de M., MELO, M. E. C. C. de M., JOHAS, R. A. L., ARAÚJO, W. S. de, BLOISE, R. M., MOREIRA, G. N. C., PAULA, J. L. de, FONTES, L. E. F. F., SOUZA, J. L. R. de, LIMA, T. da C., ANTONELLO, L. L. A., RODRIGUES, E. M., BASTOS, T. X., DINIZ, T. D. de A. S. Levantamento de reconhecimento de média intensidade e avaliação da aptidão agrícola das terras e indicação de culturas em áreas homogêneas de solos de alguns municípios do sudoeste do Estado de Mato Grosso por Antonio Manoel Pires Filho e outros. Rio de Janeiro, 1982. 484p. ilust. (EMBRAPA. SNLCS. Boletim de Pesquisa, 17). Colaboração de: Antonio Manoel Pires Filho, Humberto G. dos Santos, Elias P. Mothci, Raymundo M. Sobral Filho e Osório O. Marques da Fonseca.; https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html; http://doi.org/10.2136/sssaj2004.0140"
"area_conhecimento"	"Gênese, Morfologia e Classificação dos Solos"
"palavras_chave"	NA
"dados_completude"	NA
"dados_consistencia"	"consistência estrutural"
