"campo"	"valor"
"dados_id"	"ctb0640"
"dados_titulo"	"Conjunto de dados do  'Anais da II Reunião de Classificação, Correlação de Solo e Interpretação de Aptidão Agrícola'"
"dados_descricao"	"Conjunto de dados públicos do solo originalmente obtidos do Sistema de Informação de Solos Brasileiros (SISB), construído e mantido pela Embrapa Solos (Rio de Janeiro) e Embrapa Informática Agropecuária (Campinas), referente ao  'Anais da II Reunião de Classificação, Correlação de Solo e Interpretação de Aptidão Agrícola'. Dados de localização espacial de observações do solo sem coordenadas espaciais foram completados usando dados produzidos por Cooper et al. (2005) e publicados no artigo 'A national soil profile database for Brazil available to international scientists' do Soil Science Society of America Journal, ou então usando os dados de localização descritiva para inferir sobre as coordenadas espaciais mais prováveis usando serviços de mapas online como o Google Maps e o Google Earth. Erros e inconsistências nos dados das coordenadas espaciais das observações foram corrigidos manualmente visualizando as respectivas observações no Google Maps. Nos casos em que dados sobre o sistema de coordenadas de referência não estava disponível, adotou-se o WGS 84 como datum padrão. Também foram corrigidos erros e inconsistências, e realizadas atualizações no nome do município e código da unidade federativa onde as observações foram realizadas. Dados do conteúdo de ferro apresentando valores discrepantes foram corrigidos depois de consultar o relatório do levantamento do solo onde originalmente foram publicados. A fim de preservar a conexão dos dados com o SISB, usa-se o mesmo código de identificação daquele sistema para o conjunto de dados, assim como o código de identificação de cada observação corresponde ao código do perfil do solo no SISB e o código das amostras corresponde ao código dos horizontes. Todas os demais dados são mantidos como dados adicionais para facilitar o reuso do conjunto de dados como um todo. Nenhum item técnico-científico do SISB e seu respectivo banco de dados que seja fruto da atividade intelectual, criativa, inovadora e inédita dos projetos conduzidos pela Embrapa foi ou é usado para organizar estruturalmente a presente versão do conjunto de dados. O emprego deste conjunto de dados para finalidades profissionais e/ou comerciais deve ser precedido pelo contato com a Embrapa."
"criacao_data"	"2017-09-05"
"dados_licenca"	"CC BY 4.0"
"organizacao_nome"	"Embrapa Solos"
"organizacao_url"	NA
"organizacao_local"	"Brasil"
"autor_nome_email"	"Américo Pereira de Carvalho (NA); Jorge Olmos I. Larach (NA); Marcelo N. Camargo (NA); João Bertlodo de Oliveira (NA); Humberto G. dos Santos (NA); Elias P. Mothci (NA); Klaus P. Wittern (NA); Mauro da Conceição (NA); Ney P. Tavares (NA); Eliezer S. Louzada (NA); Doracy P. Ramos (NA); Hélio Padro (NA); João Luiz R. de Souza (NA); Antonio Carlos Moniz (NA); Célio L. F. de Almeida (NA); Maria Amélia de M. Duriez (NA); Ruth A. Leal Johas (NA); M. Elisabeth C. C. de Magalhães Melo (NA); Wilson S. de Araujo (NA); Raphael M. Bloise (NA); Gisa N. C. Moreira (NA); José Lopes de Paula (NA); Therezinha da Costa Lima (NA); Evanda M. Rodrigues (NA); Loiva L. Antonello (NA); Paulo Cardoso Lima (NA); José da Silva Pinto. (NA)"
"dados_referencia"	"https://ainfo.cnptia.embrapa.br/digital/bitstream/item/62951/1/CNPS-DOC.-5-83.pdf; https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html; http://doi.org/10.2136/sssaj2004.0140"
"area_conhecimento"	"Gênese, Morfologia e Classificação dos Solos"
"palavras_chave"	NA
"dados_completude"	NA
"dados_consistencia"	"consistência estrutural"
