"campo"	"valor"
"dados_id"	"ctb0679"
"dados_titulo"	"Levantamento Exploratório - Reconhecimento de Solos da Margem Direita do Rio São Franciso. Estado da Bahia - Volume II"
"dados_descricao"	"Conjunto de dados públicos do solo originalmente obtidos do Sistema de Informação de Solos Brasileiros (SISB), construído e mantido pela Embrapa Solos (Rio de Janeiro) e Embrapa Informática Agropecuária (Campinas), referente ao 'Levantamento Exploratório - Reconhecimento de Solos da Margem Direita do Rio São Franciso. Estado da Bahia - Volume I'. Dados de localização espacial de observações do solo sem coordenadas espaciais foram completados usando dados produzidos por Cooper et al. (2005) e publicados no artigo 'A national soil profile database for Brazil available to international scientists' do Soil Science Society of America Journal, ou então usando os dados de localização descritiva para inferir sobre as coordenadas espaciais mais prováveis usando serviços de mapas online como o Google Maps e o Google Earth. Erros e inconsistências nos dados das coordenadas espaciais das observações foram corrigidos manualmente visualizando as respectivas observações no Google Maps. Nos casos em que dados sobre o sistema de coordenadas de referência não estava disponível, adotou-se o WGS 84 como datum padrão. Também foram corrigidos erros e inconsistências, e realizadas atualizações no nome do município e código da unidade federativa onde as observações foram realizadas. Dados do conteúdo de ferro apresentando valores discrepantes foram corrigidos depois de consultar o relatório do levantamento do solo onde originalmente foram publicados. A fim de preservar a conexão dos dados com o SISB, usa-se o mesmo código de identificação daquele sistema para o conjunto de dados, assim como o código de identificação de cada observação corresponde ao código do perfil do solo no SISB e o código das amostras corresponde ao código dos horizontes. Todas os demais dados são mantidos como dados adicionais para facilitar o reuso do conjunto de dados como um todo. Nenhum item técnico-científico do SISB e seu respectivo banco de dados que seja fruto da atividade intelectual, criativa, inovadora e inédita dos projetos conduzidos pela Embrapa foi ou é usado para organizar estruturalmente a presente versão do conjunto de dados. O emprego deste conjunto de dados para finalidades profissionais e/ou comerciais deve ser precedido pelo contato com a Embrapa."
"criacao_data"	"2019-02-07"
"dados_licenca"	"CC BY-NC 4.0"
"organizacao_nome"	NA
"organizacao_url"	NA
"organizacao_local"	"Brasil"
"autor_nome_email"	"Paulo Klinger Tito Jacomina (NA); Antonio Cabral Cavalcanti (NA); Fernando B. Rodrigues e Silva (NA); José Onaldo Montenegro (NA); Rheno Amaro Formiga (NA); Nivaldo Burgos (NA); Heráclio Fernandes R. de Mélo Filho (NA); Arnaldo Moniz Ribeiro da Costa (NA); Gilberto Suhett (NA); Osvaldo Ferreira Lopes (NA); Vilmar de Oliveira (NA); Sergio Costa Pinto Pessoa (NA); Paulo Cardoso de Lima (NA); Luiz Alberto Regueira Medeiros (NA); Jeronimo Cunha Almeida (NA); Marcelo Nunes Camargo (NA); Jorge Olmos Iturri Larach (NA); Flávio Garcia de Freitas (NA); Chyozo Hirano (NA); Raul Suarez Inclan (NA); Acry A. O. De Melo (NA); Antônio Carlos Leão (NA); José Silva Rosatelli (NA); Luiz Ferreira da Silva (NA); Raimundo Carvalho Filho (NA); Clotário Olivier da Silveira (NA); Aluisio Pereira da Silva (NA); Jurandir Gondim Reis (NA); Valdir de Araújo Beltrão (NA); Leandro Vettori (NA); Franklin dos Santos Antunes (NA); Maria de Lourdes A. Anastácio (NA); Hélio Pierantoni (NA); Therezinha de O. Barreto (NA); Raphael M. Bloise (NA); Maria Amélia Duriez (NA); Ruth A. L. Johas (NA); Giza Nara C. Moreira (NA); José Flávio Dynia (NA); José Lopes de Paula (NA); Hélio A. Vaz de Mello (NA); Ida de Souza S. Vettori (NA); Maria Aparecida B. Pereira (NA); Sinézio F. Chagas (NA); Adahil Medeiros Leite (NA); Manoel da Silve Cardoso (NA); Luiz Rainho S. Carneiro (NA); Loiva Lizia Antonello (NA); Zenaide Fonseca Mello (NA); Maria Lucia Vasconcellos (NA); Ney Hamilton Porfírio (NA); Maria Carmelita M. Meneses (NA); Roberta Chaves Ferreira e José Corsino de Oliveira. (NA)"
"dados_referencia"	"https://www.infoteca.cnptia.embrapa.br/infoteca/bitstream/doc/335822/1/BT52volume2.pdf; https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html; http://doi.org/10.2136/sssaj2004.0140"
"area_conhecimento"	"Gênese, Morfologia e Classificação dos Solos"
"palavras_chave"	NA
"dados_completude"	NA
"dados_consistencia"	"consistência estrutural"
