"campo"	"valor"
"dados_id"	"ctb0608"
"dados_titulo"	"Conjunto de dados do  'V Reunião de Classificação, Correlação e Aplicação de Levantamentos de Solos'"
"dados_descricao"	"Conjunto de dados públicos do solo originalmente obtidos do Sistema de Informação de Solos Brasileiros (SISB), construído e mantido pela Embrapa Solos (Rio de Janeiro) e Embrapa Informática Agropecuária (Campinas), referente ao  'V Reunião de Classificação, Correlação e Aplicação de Levantamentos de Solos'. Dados de localização espacial de observações do solo sem coordenadas espaciais foram completados usando dados produzidos por Cooper et al. (2005) e publicados no artigo 'A national soil profile database for Brazil available to international scientists' do Soil Science Society of America Journal, ou então usando os dados de localização descritiva para inferir sobre as coordenadas espaciais mais prováveis usando serviços de mapas online como o Google Maps e o Google Earth. Erros e inconsistências nos dados das coordenadas espaciais das observações foram corrigidos manualmente visualizando as respectivas observações no Google Maps. Nos casos em que dados sobre o sistema de coordenadas de referência não estava disponível, adotou-se o WGS 84 como datum padrão. Também foram corrigidos erros e inconsistências, e realizadas atualizações no nome do município e código da unidade federativa onde as observações foram realizadas. Dados do conteúdo de ferro apresentando valores discrepantes foram corrigidos depois de consultar o relatório do levantamento do solo onde originalmente foram publicados. A fim de preservar a conexão dos dados com o SISB, usa-se o mesmo código de identificação daquele sistema para o conjunto de dados, assim como o código de identificação de cada observação corresponde ao código do perfil do solo no SISB e o código das amostras corresponde ao código dos horizontes. Todas os demais dados são mantidos como dados adicionais para facilitar o reuso do conjunto de dados como um todo. Nenhum item técnico-científico do SISB e seu respectivo banco de dados que seja fruto da atividade intelectual, criativa, inovadora e inédita dos projetos conduzidos pela Embrapa foi ou é usado para organizar estruturalmente a presente versão do conjunto de dados. O emprego deste conjunto de dados para finalidades profissionais e/ou comerciais deve ser precedido pelo contato com a Embrapa."
"criacao_data"	"2018-01-11"
"dados_licenca"	"CC BY 4.0"
"organizacao_nome"	NA
"organizacao_url"	NA
"organizacao_local"	"Brasil"
"autor_nome_email"	"Fernando Barreto Rodrigues e Silva (NA); Antonio Cabral Cavalcanti (NA); Flávio Hugo Barreto Batista da Silva (NA); Nivaldo Burgos (NA); José Coelho de Araújo Filho (NA); Raphael David dos Santos (NA); Idarê Azevedo Gomes (NA); Mauro Carneiro dos Santos (NA); José Carlos Pereira dos Santos (NA); Paulo Cardoso de Lima (NA); Aluísio Granato de Andrade (NA); Marie Elisabeth Cristine Claesson (NA); Washington de Oliveira Barreto (NA); Mariza Nascimento Duarte (NA); Sebastião B. Calderano (NA); Brivaldo Gomes de Almeida. (NA)"
"dados_referencia"	"http://ainfo.cnptia.embrapa.br/digital/bitstream/item/88364/1/bp12-1998-vrcc.pdf
; https://www.bdsolos.cnptia.embrapa.br/consulta_publica.html; http://doi.org/10.2136/sssaj2004.0140"
"area_conhecimento"	"Gênese, Morfologia e Classificação dos Solos"
"palavras_chave"	NA
"dados_completude"	NA
"dados_consistencia"	"consistência estrutural"
